addr,balance
0x0969078a4270593681dd3c97f5d2e47dd55dacf1,1089622171269067
0x0a36fc615b78ecf84130a1dfaf6ebdf84644fee5,10313078960173957
0x12c7b32293b1082812e52f99f97474a085b790ea,10927822791795928
0x1c56377e4116af01dbf9c518364f6a4899941763,3889110142767
0x1edf2aae7967558e8bafdd7c909346494eb9aa63,10313169175555778
0x018aef05eb5add803e514f37bdc83361c040a0a7,1030023952962
0x0d4f98cb588c18fcc2695e2341112f066a915f80,61423644102087120
0x45b5117263e3260fd0cde48ff89cf029c3d6cc6e,5477022384822792
0x4beab2af56bf3734983cd6fec1e16e3e17889d94,1089331856046257
0x55bbdf066d5fb502c14e10b08d2966c96e21dca5,1
0x5ac80a5ae8cdd0b28f82fc004fff502ce1287b8b,614694447213639
0x00a297fa8521dc8df1c9a6000b4665cbb3138410,10927325291596053
0x0a89b6b3f9ca1439da4d235bf605656196847de5,10332170272156317
0x0b154cf79905d2c800a5369743df042d1ee0061c,5283620775595654
0x0c898f3a3b8d873a2c7787432b92c95a8b1bcebb,10313029608214536
0x0cca7e7317e21ff3a9d2845bde7de97382cc8248,10313029608214536
0x4a891ca4f7402e56da8db04c9aa5f0b800df1b4d,10332170272156317
0x51d332435a6cda41a180dd52bf6931d62fbf4e82,10332170272156317
0x5e517c7b5e979fb2186bf8418d8d51f7a8b366bf,10332198085933607
0x0fc7f1f13155f118a8db4e09869b7109b3c7ad91,267378000000000000
0x1352d3ee7ca27780fe61a9ba9724405dc9e02a68,10268168677100988
0x2b2e597cfe2a98728c1d6a7e629d3494113cbfaa,10268168677100988
0x0d6baf35b4982a7cb84ffe8eb786607d1abef2e1,10313029608214536
0x16d70c756ac9c33e3e862d79d6778702342cd188,495049504950495
0x603c62c613226bccccc066151ed4aa8d288b0168,10312585440579748
0x605d42465703f107385b9611b140df81b7a5cc50,10332170272156317
0x61eb01490566950dc7ca560046d93ddd3ede90eb,140827
0x3febc94818fb7aeb5e44708e6e3d1c11fe7b893a,642000000000000001
0x404dd93eaed62d1723e6b091092430fedf4c5568,10268168677100988
0x7508d8a6348d41a0a3e40020b70231c352861074,10313029608214536
0x7c05af80dbb5ad21e1b11218531f5877620346f4,213413418402950854
0x81902222eba43d88b22c8aca532186d0235513e7,40800000000000
0x6feafd882f8b5d193462d756a70571c99f78eea6,279708973003356
0x7616bb991081160eb20ff62ba47da6e54f5c8728,279708973307664
0x656c3d9fb8df55c4e29c0b2beba1f8f52621fd11,10332170272156317
0x682f11e8d2b01653f468914859fd33b5fa624522,10332198156611804
0x6d18565d820a66e153d47f4a0797c0b62d8dc873,7110158508623268
0x72ada2a3d4051421d19143b800e197e5f9de582b,2094007032987889
0x7550e7c94ae54254d16e8414501c991d6c625bef,10332170272156317
0x9351f25d37a5cd91bd090b46fb1694f62c3a8d48,1030023952962
0x95c4506c39174369b4f0def9baa6502fe9a3ccc5,238679323359884358486
0x7adc947493b5933e209385a9aff9e4082decf10d,10332170272156317
0x7c1a00f41b5d6751664ce402549395e1f5d6635b,9999999999613860
0x8755e6896e4660077046960376e49a30658f2894,10946941988233807
0x8fcc63369cbb096a17de6313d2375943ae4e5cfc,10331970890240256
0x900a7b05cb1e3fbcd699f8df9c9399ff9d1cbed2,10332198156611804
