addr,balance
0x0f92b26f6907127ff8546daa15a90b6dfbff8034,800000000000000000000
0x743eb06ebb2ae6b1358c26efaacce9b36fef24e1,103642279708973306930
0x76a3757dd0edc22ed466c4e98588a6076b27a709,603039675084912919
0xe1ecc9fe982499f424664631c65cc6813f198b21,103642279708973306930
0xf91990b21ec9bc3e54e0b0c33bd2f06750f82ff5,2
0xde4d5886da98c3a1140260aaf536a2f1262e2948,1
0x1f3b3e0ebc12e8f2a78b6338ec363dc38de4569c,9999970223
0x6afbc7d2c9ae204ab121799f09d70cee22e151d0,39389351013000000000
0xacf4e0396fbbb4610d86a1ad89f00fa845f51a56,9702021870707598412
0xb88f49e85086a668fff395578355812883e865df,2
0xcb585aaf61d03d47c0405229c83cd2cd00a8db7a,1085
0x03d509fd2dd159cff15dd9ed45878158ac6847dc,22200000000000000000
0x30fa1346e162355d3fae70744645960d258ca679,100000000000000000000
0x3971b68c4a8a5e1f7741e442df6d42914d5c52c9,100000000000000000000
0x8670f3934e9900cf2e223dd6d5fec24891e9ff00,500000000000000000000
0x9701f2d67be122b0d0064522cc10933e1d14dc68,85714285714285
0xbcde41109ed5b478dd2645e92e2fd6f14d3370ba,1640258285654867256638
0x39e71194d145608adbdd427a20b62dbea5b54b31,5828527759
0x4881b729088784441e9e71b080399cea693c8f63,163287158096575133
0x7652161f67dc94aeae9f9f68b9c689c20273a0db,80090132231404958678
0xdc52ce7bc73cd8fe53e0a6f0361298b2c0be2614,1
0xf82dc13547bab2cc082f11281a197affe8c3fe4f,2830565721
0x17b7a8d31a73a72205f100741aa89cdc6b349304,103451485148514851485
0x318ea15b1b3edf3fd5008149ed07ddbbef76f327,18486905987402507
0x3ddd899d13aa8a13082316e46198ec1d2e9d0da6,1000267054835155521703
0x540e0299db8b33ec1bde2c466bcc6466c8c62acf,3689607939
0x6afee5bd7634ee8dde8b7bff8ea4f420bf777aa2,71428571428571
0x8e0505115a4c2206fc009312c7e174c529221e45,103642279708973306930
0x80570bf719f0d4d363983fcd1544975075cc1c95,1143297228364131331
0xbb3d63ac43d6b09bbf39831c761bb004292d4e48,36542000000000000000000
0xcbabe0b203bf3335b102e1686047d80ec9782d61,1
0xe5b1ac5b37d7c8b5f3bbe32c1bce56839d95b1f9,5598092633
0x237961029136635cf912235c9d712336c224c983,990
0x338325e0551b67175fec669528174287f0a8b2aa,1
0x70f6e508d68e2163e746a383de8266d19c9df08d,1
0x8f3bf5a2e308d3943115871bdf7d0250d068f3c7,103642279708973306930
0xb3f892f806dffd6ed662ce03a06a11143609a651,585000000000000000000
0x1ea478c2d53917f803cb9914b0b230ad06800064,100000000000000000000
0x55220156016fcbf7f56f8ad627380ecf6e9905ae,6166495375000000000
0x6e9406051e022221066e9e64915f389fcc9a32ca,342610514061354260
0x7d03fc58c754f61ba14293bcf82061cd8c90dfca,103642279708973306930
0x81863926544967512b69d9e606cf06f2e48239bd,421750000000000000000
0xc0331edfe6f139d3fb36ec25a62c64c5394c77e7,14795312488999999000
0xc2ce2da9cf4f8509d62bfe211e2cf44c9f86cb7b,103642279708973306930
0x0b8c585ba1a5d524a42978608176a18cc116819d,103000000000000000000
0x22e38e34ded1e50e3e971914ade2de4fe7e6a0d2,8571429228
0x341f8f83e3773d739ad3defbb040045b2dd27993,400000000000000000000
0x3904488a29c25f3d782813ca7331bf7ef4c370df,103451485148514851485
0x891f4641c5c5b3e2a62757a65bb7e96db16cd689,103000000000000000000
0x8a2dc79175bb930ef12855de059ea5bc1c35c2e3,103000000000000000000
0x998ee73331599d750fa0053386d5d73e0a9686cf,103642279708000000000
